2024-07-27 16:37:52 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597626?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:52 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597620?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:52 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597621?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:52 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597622?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:53 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597623?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:53 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597625?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:53 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597624?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:53 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597628?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:53 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597630?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:54 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597632?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:54 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597633?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:54 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597631?lang=en&region=us HTTP/1.1" 200 None
